Age,City of London,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,Inner London,Outer London,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,England,Wales,Scotland,Northern Ireland,England and Wales,Great Britain,United Kingdom
0,66,3794,5198,3110,5120,4126,2750,5728,5280,4937,4570,4323,2284,4052,3419,3185,4570,4287,2867,1785,2361,4417,4652,3277,5886,4791,2592,4515,2841,4546,4611,4898,2677,49718,77797,28360,85997,64182,53369,69951,72253,127515,103264,58086,662977,33542,56001,24249,696519,752520,776769
1,75,3785,5275,3146,4989,4171,2781,5667,5264,5018,4428,4227,2283,4040,3519,3285,4492,4233,2634,1743,2250,4173,4567,3194,6126,4528,2660,4347,2699,4438,4312,4746,2619,48799,76915,29183,87070,65040,53813,71703,73839,125714,104978,59653,670993,33969,56678,24485,704962,761640,786125
2,88,4064,5310,3146,4959,4278,2892,5724,5471,5139,4649,4227,2363,3828,3608,3228,4614,4373,2711,1740,2345,4116,4671,3208,5879,4623,2775,4504,2727,4681,4428,4583,2759,49042,78669,30073,88556,66623,55728,73918,75845,127711,108928,61550,688932,34941,57813,25018,723873,781686,806704
3,89,4101,5822,3401,5121,4574,3069,5731,5414,5156,4472,4060,2391,3723,3663,3374,4688,4534,2681,1941,2423,4173,4579,3331,5946,4731,2937,4358,3070,4575,4686,4532,2955,49072,81229,31157,91403,68985,58121,75572,78412,130301,114326,64310,712587,36293,59341,25855,748880,808221,834076
4,93,3892,5625,3389,4500,4305,2908,5742,5161,5152,4171,3853,2280,3426,3287,3094,4375,4119,2532,1772,2471,3864,4375,3010,5132,4378,2911,4148,2855,4013,4074,4205,2917,45518,76511,31327,90163,67329,57626,74124,77954,122029,114873,63766,699191,37177,61341,25709,736368,797709,823418
5,61,3924,5451,3191,4375,4423,2867,5620,4943,4972,4063,3723,2194,3502,3338,3011,4268,3836,2426,1691,2315,3764,4236,2971,4645,4464,2991,3810,2769,3889,3864,3915,2775,43498,74789,30886,88511,67554,56487,72533,76946,118287,113637,62770,687611,36518,58497,25414,724129,782626,808040
6,75,3805,5288,3202,4286,4258,2750,5548,4645,5041,4018,3491,2134,3391,3269,3121,4162,3759,2290,1745,2380,3790,4095,2718,4705,4357,2871,3631,2723,3770,3857,3695,2611,42173,73308,30048,87513,66961,55781,72817,76025,115481,111335,61763,677724,36056,60030,25729,713780,773810,799539
7,55,3862,5360,3388,4201,4206,2756,5637,4958,5107,4011,3458,2005,3399,3316,3094,4228,3788,2317,1637,2355,3617,4160,2665,4776,4403,2758,3734,2668,3664,3784,3467,2456,41501,73789,30650,88755,66767,56791,73469,76382,115290,112654,62639,683397,36765,59905,25752,720162,780067,805819
8,60,3776,5150,3213,4154,4127,2607,5375,4594,4809,3721,3399,2102,3334,3062,3010,3924,3529,2240,1715,2140,3557,3833,2635,4494,4267,2579,3579,2672,3655,3756,3485,2294,40354,70493,29485,86005,64880,54809,71136,73274,110847,109603,61143,661182,35472,57571,24536,696654,754225,778761
9,50,3350,5017,3047,4033,4028,2477,5076,4401,4602,3729,3411,1822,3482,3039,2934,3734,3328,2116,1653,2048,3558,3716,2350,4381,4089,2479,3245,2466,3574,3423,3071,2304,38860,67173,29727,84968,64248,54271,70140,71556,106033,107084,59522,647549,34992,56353,23393,682541,738894,762287
10,64,3146,4713,2960,3698,3781,2419,4883,4162,4425,3437,3131,1733,3152,2961,2916,3631,3124,1981,1548,1949,3260,3428,2355,4237,3887,2348,3250,2385,3246,3261,2780,2176,36405,64022,28018,81583,61564,51487,68415,68892,100427,102322,57365,620073,33823,55960,22775,653896,709856,732631
11,60,2770,4498,2918,3735,3799,2440,4693,3883,4249,3030,2957,1611,3185,2898,2775,3447,2862,1954,1546,1927,3054,3202,2191,3934,3948,2201,2910,2346,3243,3140,2791,2092,34979,61310,27516,79630,60205,51442,67074,68692,96289,102076,56866,609790,32833,54864,22543,642623,697487,720030
12,48,2724,4553,2823,3680,3709,2293,4545,3887,4053,2981,2974,1579,3030,2832,2694,3289,2803,1914,1394,1754,3067,2964,2008,3923,3870,2267,2874,2310,3228,3104,2639,2071,33998,59886,26835,77201,58374,49718,64847,66016,93884,99095,56160,592130,32317,53191,22056,624447,677638,699694
13,42,2664,4277,2872,3549,3458,2316,4418,3788,3959,2893,2791,1504,2957,2716,2694,3266,2688,1850,1344,1701,2854,2917,2021,3782,3772,1982,2818,2138,3056,2909,2464,1940,32635,57765,26404,76658,57882,49003,63958,65404,90400,97006,54894,581609,32334,52935,22130,613943,666878,689008
14,36,2689,4187,2935,3598,3674,2260,4455,3793,4032,2919,2808,1521,3056,2870,2805,3351,2709,1890,1282,1736,2892,2926,2086,3916,3728,1987,2807,2324,2913,3008,2472,2003,32782,58886,27149,78498,58336,50755,65387,67185,91668,100546,57169,596693,33646,55192,22357,630339,685531,707888
15,33,2566,4420,3029,3720,3668,2211,4724,3900,4140,2971,2845,1498,3034,2982,2900,3492,2753,1856,1303,1795,2929,3072,2073,3930,3710,2020,2802,2342,2773,2872,2358,1988,32632,60077,28199,80700,60069,52488,67332,68602,92709,102753,59824,612676,34611,56590,23199,647287,703877,727076
16,45,2555,4348,3056,3570,3809,2058,4812,3868,4194,3028,2757,1547,3069,3054,3066,3460,2896,1890,1302,1820,2792,3075,2003,4055,3829,2069,2870,2352,2863,2963,2448,1974,32745,60752,29180,83624,62577,54970,68746,70903,93497,106194,61944,631635,35901,58760,24271,667536,726296,750567
17,50,2907,4330,3152,3726,3807,2134,4816,3858,4179,2952,2798,1397,3125,3180,3017,3721,2978,2008,1189,1785,3025,3082,2113,4085,3799,1992,2751,2503,2866,3070,2395,1998,32903,61885,30220,84530,64067,54879,70761,71804,94788,107401,62657,641107,36698,60074,24562,677805,737879,762441
18,48,2718,4302,2966,3763,3832,2330,4860,3722,4262,3147,2683,1497,3073,2965,3055,3610,3046,2275,1323,1913,2924,3208,2069,4127,3834,1750,3057,2385,3195,2932,2433,2233,34406,61131,32034,88828,66769,57747,73210,72252,95537,108900,65754,661031,38798,62576,24973,699829,762405,787378
19,71,2170,3595,2562,3498,2849,3747,3868,3434,3565,3358,2558,1493,2673,2052,2691,3798,2835,3151,1632,2166,2922,2959,1716,4273,2978,1589,3742,1783,3871,2784,2453,2803,38348,53291,35846,88729,74720,62967,73856,64751,91639,105505,68827,666840,39983,65983,23605,706823,772806,796411
20,89,2408,3618,2550,3520,2642,4098,3503,3059,3334,3209,2574,1884,2656,2138,2648,3995,2924,3829,1483,2589,2947,3009,1567,4440,2917,1390,4116,1735,4335,2770,2584,2808,40852,52516,37393,90549,75505,65363,74297,63474,93368,105267,68545,673761,41411,68431,23460,715172,783603,807063
21,75,2451,4053,2904,3762,2971,3775,3692,3464,3523,3330,2782,2271,3005,2523,2752,4361,2944,4177,1726,2549,3348,3362,1735,4948,3051,1581,4069,1778,4586,2850,2812,3192,44128,56274,38110,93661,77845,66463,77021,68923,100402,109227,70033,701685,43682,71367,23826,745367,816734,840560
22,123,2550,4264,3014,4299,3141,4235,4138,3684,3965,3990,3255,2494,3390,2735,2966,4532,3206,4590,1916,2669,3959,4021,2173,5236,3560,1657,4727,1892,4987,3291,3239,3640,49812,61726,37162,96224,78919,64140,77469,70010,111538,108639,67994,712095,42982,73141,23838,755077,828218,852056
23,131,2680,4772,3162,4524,3565,5000,4589,4183,4423,4041,3811,2980,4164,3007,3166,4790,3513,5552,2143,2851,5228,4554,2319,5874,3885,1817,5794,2197,5981,3744,4479,3611,59302,67228,38251,100984,78730,63646,80639,72975,126530,111223,67884,740862,42929,77485,24637,783791,861276,885913
24,149,2893,5480,3519,5093,3701,5019,5329,4925,4764,4368,4561,3768,4472,3285,3498,4767,3941,5794,2308,2771,7064,4858,2522,6853,4421,1957,6908,2325,7324,4423,5839,3669,68586,73982,37577,102836,77887,63244,82654,75542,142568,112870,68676,763854,43210,77246,24781,807064,884310,909091
25,153,3011,5981,3429,5473,3880,5200,5202,5328,4960,4647,5537,3738,5064,3515,3424,4603,4200,5824,2439,2710,8180,5302,2982,7621,4612,1807,7610,2415,7933,4771,6613,4522,75736,76950,35144,99500,73986,61103,79920,74508,152686,110588,67160,754595,41210,74147,24588,795805,869952,894540
26,187,3026,5949,3557,5788,3889,5514,5385,5578,5079,4995,6158,4110,5092,3829,3553,4719,4401,5969,2671,2749,9531,5799,3170,7877,4517,2047,7710,2454,8718,4919,7746,4740,81822,79604,33882,97001,71090,58805,77500,75832,161426,107123,66557,749216,40045,73527,24606,789261,862788,887394
27,216,3277,6492,3265,6023,4082,5563,5556,6012,5043,4951,7131,4387,5972,3995,3481,4672,4799,6349,2725,2759,10064,5832,3436,8101,5163,2314,7791,2647,9564,5237,8674,5080,87449,83204,33979,96869,72337,58389,76243,77472,170653,107466,65948,759356,39028,73839,24945,798384,872223,897168
28,210,3136,6287,3130,6259,3930,5511,5501,6027,5384,5093,7961,4464,5649,3801,3263,4577,4939,6289,2524,2674,10507,5767,3640,7969,4908,2209,7905,2607,9622,5068,9133,5557,89068,82433,32770,93196,69385,56229,74540,76059,171501,104984,63880,742544,37694,71408,25012,780238,851646,876658
29,207,3276,6627,3006,6796,3898,5272,6035,6472,5273,5501,8053,4655,5799,3780,3275,4851,5043,6723,2921,2845,10177,6097,3747,8341,5010,2277,7795,2604,9120,5327,9643,5918,90721,85643,33728,94814,69914,57329,74751,76170,176364,106531,62656,752257,37078,70965,25174,789335,860300,885474
30,189,3469,6403,3159,6749,4140,5309,5722,6323,5168,5118,8135,4681,5968,3944,3425,4741,5247,6714,2955,2871,9675,5973,4118,8510,5305,2569,7903,2741,9083,5602,9810,5941,90846,86814,32997,94705,69880,57311,74553,75995,177660,107786,63496,754383,37149,70533,25024,791532,862065,887089
31,230,3372,6292,2979,6500,3991,4955,5567,5979,5096,5157,7758,4169,6210,3999,3175,4753,5253,6378,3061,2795,9112,6192,3995,8083,5274,2768,7425,2985,8615,5437,9412,5796,87396,85367,31742,92318,68156,56320,72037,74921,172763,106727,62784,737768,35821,68276,24700,773589,841865,866565
32,219,3344,6636,3186,6581,4320,5125,5840,6237,5112,5061,7512,4215,6103,3960,3238,4814,5326,5719,3217,3004,8333,6336,4165,8007,5350,3102,7164,3075,8015,5592,9014,5885,84864,87943,31884,92208,67569,56751,73341,76151,172807,110271,63194,744176,36227,69258,24444,780403,849661,874105
33,216,3286,6536,3248,6267,4378,5134,6296,6264,5391,4869,7181,3954,5959,4277,3420,4824,5522,5240,3082,2951,7537,6308,4220,7424,5031,3236,6871,3219,7709,5453,8846,6003,81464,88688,31481,91434,67959,56134,72248,78147,170152,111944,63445,742944,35810,70132,24450,778754,848886,873336
34,178,3314,6493,3317,5996,4970,4927,6026,6576,5051,5291,6920,3740,6010,4142,3450,4962,5413,5073,3379,3081,7854,6274,4336,6819,5398,3206,6630,3225,7196,5044,8083,5621,78704,89291,31846,91238,68054,57731,72891,79131,167995,115574,64297,748757,36958,69701,25012,785715,855416,880428
35,154,3382,6476,3371,5891,4929,4653,5970,6294,5004,5590,6563,3832,5734,4021,3439,5092,5255,4806,3254,2985,6949,6113,4287,6407,5213,3424,6328,3355,6829,5071,7381,5296,74299,89049,32267,91630,68358,58226,74077,80026,163348,117195,64865,749992,37102,68314,24963,787094,855408,880371
36,138,3129,6166,3236,5545,4993,4412,6039,6179,5069,5294,5793,3456,5611,4041,3211,5058,5068,4185,3082,2920,6376,6097,4150,5951,4950,3450,5811,3250,6076,4933,6982,4962,68932,86681,30829,87124,65287,55530,69977,77986,155613,114582,62359,719287,35202,66079,23892,754489,820568,844460
37,110,3058,6023,3167,4999,4736,3908,5657,5591,4762,5049,5196,3219,5224,3773,3009,4565,4887,3850,2997,2873,5769,5415,3751,5336,4770,3498,5488,3126,5580,4725,6256,4550,62898,82019,27869,80822,59820,51819,64907,73099,144917,109266,58279,670798,32634,61363,22878,703432,764795,787673
38,132,3156,5638,3022,5028,4655,3739,5557,5679,4766,4732,4667,3071,4885,3703,3044,4285,4555,3416,2880,2706,5240,5395,3751,5096,4725,3434,5180,3060,5347,4465,5604,4431,59083,79961,27135,79219,58997,51411,64208,72937,139044,108916,58194,660061,32769,60428,22707,692830,753258,775965
39,85,2932,5633,3078,4849,4631,3719,5489,5627,4500,4307,4323,2978,4587,3539,3048,4201,4396,3443,2628,2777,5292,5055,3447,5005,4570,3355,4880,3021,4669,4309,5315,4033,56012,77709,28673,82257,61758,53503,66708,74336,133721,110135,59689,670780,32968,63953,22768,703748,767701,790469
40,137,3098,5650,3046,4693,4671,3542,5451,5296,4352,4433,4104,3016,4419,3402,3020,4199,4459,3059,2357,2773,4796,4682,3260,4568,4378,3546,4826,3019,4475,4171,5185,4122,53288,76917,29250,84235,63207,55459,67738,76892,130205,114625,62292,683903,34264,64459,23313,718167,782626,805939
41,134,3071,5457,3082,4617,4702,3580,5134,5367,4550,4041,3830,2909,4306,3306,2998,4067,4096,3020,2578,2770,4684,4584,3011,4353,4290,3496,4347,3075,4128,3974,4846,3859,51158,75104,29614,86395,64745,57376,70313,78017,126262,117111,64726,694559,35397,65347,23960,729956,795303,819263
42,107,2920,5526,3238,4549,4770,3537,5085,5117,4523,4121,3764,2788,4238,3510,3027,4052,3994,2940,2354,2708,4505,4694,3230,4265,4029,3503,4442,3080,3851,3967,4637,3790,49912,74949,31783,91435,69109,61218,73768,81359,124861,122537,68607,724677,37639,69421,24882,762316,831737,856619
43,128,2808,5454,3241,4420,4732,3350,5453,5192,4503,3958,3724,2831,4104,3366,3230,4038,3895,3050,2512,2724,4549,4734,2978,4253,4059,3490,4283,3220,3589,4067,4623,3491,49221,74828,34408,97706,73069,64658,77781,84413,124049,126221,72256,754561,40293,73863,25251,794854,868717,893968
44,126,2878,5557,3342,4256,4940,3341,5451,5046,4716,3966,3363,2629,4283,3345,3319,4065,3704,2880,2372,2615,4407,4647,3033,4321,4032,3365,4246,3086,3552,4062,4084,3320,47571,74778,36542,102086,76737,67484,80946,87069,122349,130262,75279,778754,42289,76735,25797,821043,897778,923575
45,145,2863,5399,3602,4341,5011,3245,5227,5039,4682,3797,3382,2492,3821,3285,3303,4066,3685,2738,2232,2409,4234,4283,3009,4290,3897,3084,4353,3034,3271,3967,4181,3513,46180,73700,35149,99515,74850,64887,79747,85015,119880,126555,74188,759786,41060,75732,25778,800846,876578,902356
46,133,2674,5411,3579,4290,5072,3160,5487,4912,4650,3736,3189,2433,3958,3302,3419,3822,3475,2828,2340,2497,4143,4292,3066,4273,3967,3119,4157,2968,3221,4004,4003,3380,45510,73450,35669,103075,76006,68423,81286,87546,118960,129990,76482,777437,43073,78720,26074,820510,899230,925304
47,171,2606,5326,3433,4214,4977,3082,5425,4825,4776,3742,3303,2452,3764,3165,3482,4034,3554,2837,2361,2445,4222,4137,2934,4053,3887,3065,4168,3204,3032,3884,3873,3399,44854,72978,36461,102087,76229,67923,80969,87782,117832,130812,76516,776611,42581,80228,26585,819192,899420,926005
48,118,2581,5205,3713,4059,5108,2958,5390,4716,4810,3780,3232,2481,3777,3339,3571,4055,3428,2671,2191,2367,4190,4138,2910,3871,3830,3093,4294,3188,2975,3714,3739,3260,43895,72857,37592,103732,76714,68876,81455,89125,116752,133754,79611,787611,43734,80816,26497,831345,912161,938658
49,141,2568,5218,3630,4195,5030,2916,5921,4649,4790,3672,3125,2367,3791,3219,3630,3959,3527,2908,2246,2363,4172,4118,2797,3836,3723,3014,3978,3123,2703,3655,3786,3124,43211,72683,38403,103020,76293,69123,81865,89872,115894,133451,79994,787915,43651,80322,26534,831566,911888,938422
50,120,2535,4901,3676,4186,5058,2792,5731,4655,4690,3508,3097,2277,3798,3204,3571,3960,3497,2708,2303,2274,4275,4079,2774,3609,3788,2965,3966,3151,2548,3467,3408,3059,42039,71591,39308,105313,76767,69847,81714,89593,113630,134783,80111,791066,44899,83200,26967,835965,919165,946132
51,136,2404,4970,3623,4122,4979,2737,5813,4505,4586,3428,2821,2329,3423,3277,3574,3880,3330,2547,2181,2214,4142,4034,2719,3561,3681,2911,3912,2969,2520,3546,3521,2978,40842,70531,38890,104604,76749,68823,80723,88535,111373,133089,80519,783305,44991,82142,26501,828296,910438,936939
52,125,2399,4755,3464,4060,4594,2580,5672,4258,4496,3242,2762,2135,3327,3240,3502,3796,3186,2576,2154,2162,3829,4001,2633,3511,3526,2750,3904,2866,2418,3261,3306,2826,39454,67862,39062,102635,75549,67605,79019,86505,107316,129737,78429,765857,43767,81807,25879,809624,891431,917310
53,120,2264,4496,3369,3884,4541,2431,5392,4190,4096,3154,2611,2025,3171,3204,3328,3758,3155,2441,2030,2077,3582,3787,2543,3251,3460,2675,3550,2629,2257,3092,2972,2687,36915,65307,38535,102078,74182,65863,78635,84482,102222,125430,77277,748704,43629,79957,25218,792333,872290,897508
54,114,2130,4415,3294,3821,4459,2410,4885,3913,4160,3170,2471,1880,2821,3091,3542,3545,3030,2221,2015,2001,3426,3378,2340,3255,3300,2524,3574,2605,2188,2957,2957,2628,35338,63182,36875,97855,71903,64115,74995,81744,98520,121223,74838,722068,42371,78187,24822,764439,842626,867448
55,109,2079,4249,3165,3874,4227,2314,4855,3821,3946,2949,2360,1813,2958,3096,3287,3431,2890,2062,1899,1870,3223,3181,2275,3100,3367,2335,3405,2537,2130,2948,2770,2619,33943,61201,35965,93583,69675,61490,70498,77561,95144,116153,72305,692374,40953,75506,23800,733327,808833,832633
56,106,1993,4123,3025,3779,3952,2299,4573,3686,3654,2818,2269,1609,2619,2968,3215,3287,2851,2048,1853,1964,2907,2982,2094,2826,3080,2258,3092,2395,2046,2928,2582,2348,31586,58643,36271,91490,67560,59978,69474,76091,90229,113598,71467,676158,40419,74932,23108,716577,791509,814617
57,135,1795,4077,2899,3599,3859,2196,4225,3506,3553,2619,2027,1676,2436,2834,3211,3171,2744,1807,1760,1725,2769,2901,2033,2754,3121,2214,3002,2253,1949,2596,2448,2271,30131,56034,36059,89500,67160,58655,67881,74723,86165,110526,70420,661089,39750,72849,22757,700839,773688,796445
58,95,1728,3776,2731,3268,3676,2006,4058,3425,3278,2358,1978,1468,2375,2791,2985,2993,2684,1775,1676,1767,2580,2755,2062,2694,2960,2193,2681,2119,1897,2464,2374,2168,28522,53316,34426,86897,64651,55978,65573,71923,81838,106137,68374,635797,38789,70878,21792,674586,745464,767256
59,108,1613,3706,2566,3266,3426,2071,4006,3381,3222,2397,1967,1437,2231,2860,2728,2887,2513,1794,1560,1543,2456,2558,1921,2521,2806,2018,2477,2078,1786,2292,2405,2226,27597,51229,32999,83154,62489,54592,63625,69742,78826,101858,65619,612904,37264,68655,20888,650168,718823,739711
60,101,1500,3472,2417,3065,3311,1925,3889,3276,2921,2222,1832,1388,2163,2734,2621,2751,2456,1584,1544,1528,2269,2250,1806,2230,2748,1963,2268,1958,1686,2235,2167,2100,25507,48873,31648,79574,59317,52757,62104,67305,74380,98787,64408,590280,36413,65720,19880,626693,692413,712293
61,97,1442,3256,2283,2788,3236,1845,3610,3198,2885,2100,1573,1409,2001,2444,2686,2591,2328,1597,1490,1630,2124,2187,1703,2084,2726,1906,2049,1976,1622,2229,2085,1976,24139,47017,31626,79895,60192,53964,62951,68167,71156,97722,65908,591581,37493,64782,19510,629074,693856,713366
62,99,1413,3303,2279,2738,3147,1860,3381,3104,2664,1990,1616,1287,1969,2467,2533,2511,2279,1456,1452,1512,2099,1997,1721,1966,2482,1795,1974,1833,1539,2068,2046,1985,23345,45220,31170,79720,59337,53401,62575,66942,68565,96649,65632,583991,37476,63577,19037,621467,685044,704081
63,99,1281,3196,2240,2580,3071,1809,3429,2942,2713,1933,1467,1244,1930,2367,2519,2332,2217,1367,1459,1375,1822,1888,1616,2017,2428,1859,1832,1744,1536,2014,1945,2011,22426,43856,30191,76914,57414,52385,60333,65575,66282,93810,64692,567596,36536,61183,18318,604132,665315,683633
64,96,1318,3236,2312,2500,3188,1756,3138,2729,2514,1861,1465,1266,1793,2327,2491,2273,2065,1265,1489,1465,1788,1917,1656,1809,2394,1883,1744,1807,1281,1858,1997,1874,21540,43015,30512,78361,58363,52902,60297,65924,64555,94680,65679,571273,37004,61736,18333,608277,670013,688346
65,105,1213,3312,2138,2600,3190,1806,3057,2695,2497,1817,1380,1193,1846,2286,2514,2337,2119,1325,1596,1447,1753,1746,1595,1792,2375,1809,1657,1734,1238,1724,1910,1867,21214,42459,31025,79700,59190,54313,61884,67825,63673,97116,67869,582595,38172,61768,18297,620767,682535,700832
66,91,1197,3172,2263,2267,3396,1844,2962,2660,2473,1799,1318,1216,1768,2209,2635,2311,2054,1349,1506,1505,1628,1708,1639,1512,2171,1886,1622,1822,1187,1761,1980,1820,20549,42182,31665,81591,60649,55279,63296,69964,62731,101298,69968,596441,39064,63190,18048,635505,698695,716743
67,109,1119,3144,2394,2207,3480,1835,3210,2612,2495,1932,1280,1281,1644,2229,2799,2409,2033,1429,1544,1474,1634,1831,1578,1598,2243,1966,1593,1866,1079,1834,1884,1822,20563,43024,33169,86613,64097,58754,65516,75201,63587,107737,74890,629564,41353,65005,17984,670917,735922,753906
68,108,1260,3344,2673,2198,3994,1862,3421,2557,2562,2104,1314,1274,1686,2263,3122,2629,2027,1344,1544,1572,1657,1789,1603,1554,2327,2078,1647,2215,1119,1816,2017,1831,20746,45765,35960,93649,69814,63051,69625,84091,66511,118463,81670,682834,43589,70181,17932,726423,796604,814536
69,61,1028,2882,2131,1958,2981,1603,2642,2141,2310,1611,1014,1065,1418,2013,2402,2047,1601,1071,1378,1302,1312,1470,1263,1245,1885,1630,1350,1681,938,1523,1577,1608,17110,37031,27073,69548,52503,48537,55521,63604,54141,91366,63408,525701,33508,52811,16552,559209,612020,628572
70,75,963,2740,1868,1846,2836,1602,2387,1914,2095,1521,1019,963,1335,1836,2178,1930,1553,1027,1236,1135,1238,1319,1256,1139,1795,1481,1255,1490,861,1309,1488,1570,16127,34133,26157,67097,51535,47504,55923,60591,50260,87395,62037,508499,33171,49594,16285,541670,591264,607549
71,59,849,2739,1905,1762,2698,1525,2381,1932,2185,1412,968,955,1288,1849,2151,1894,1508,1039,1217,1098,1187,1278,1152,1146,1675,1592,1197,1496,783,1312,1357,1410,15409,33590,25318,67529,50396,47921,56977,60214,48999,86497,61071,504922,32761,50402,16116,537683,588085,604201
72,67,868,2395,1863,1702,2665,1315,2324,1849,2071,1297,915,844,1123,1628,2024,1783,1446,981,1155,1089,1175,1250,1073,1081,1733,1294,1129,1381,749,1298,1379,1276,14439,31783,22749,63136,46331,43281,52426,55794,46222,80606,57010,467555,30795,48067,15449,498350,546417,561866
73,47,804,2176,1617,1642,2301,1169,2098,1740,1835,1178,819,768,1054,1537,1853,1642,1366,828,1040,933,1035,1221,1013,1057,1428,1148,1079,1227,718,1234,1249,1132,13216,28772,20961,56884,41154,37660,46549,48976,41988,70985,50415,415572,28164,43865,13706,443736,487601,501307
74,47,690,1892,1458,1448,2051,1078,1878,1582,1635,1108,780,783,1009,1375,1631,1420,1132,806,852,821,1048,1063,1076,945,1351,1052,1003,1073,794,1015,1198,1130,12536,25688,19537,52406,37684,33676,41471,42790,38224,62157,44127,372072,25520,40398,12250,397592,437990,450240
75,53,763,2009,1599,1616,2104,1093,1964,1674,1763,1165,787,814,1098,1553,1795,1575,1236,827,912,892,1163,1164,1003,1059,1476,1088,1025,1197,785,1132,1239,1153,13172,27604,20323,53171,39325,34412,42234,44919,40776,65241,45100,385501,24985,40800,11769,410486,451286,463055
76,59,739,1995,1697,1511,2178,1152,1906,1712,1722,1095,778,782,1063,1538,1725,1521,1276,821,892,872,999,1115,1039,981,1418,1115,970,1139,692,1124,1225,1164,12693,27322,20238,51880,38549,34408,41477,44769,40015,64393,44575,380304,24416,39510,11760,404720,444230,455990
77,56,817,1910,1595,1392,2156,1025,1915,1644,1662,1040,693,704,1010,1411,1694,1531,1205,743,804,753,986,1159,947,931,1414,1010,906,1123,683,1105,1126,1117,11943,26324,19741,50213,37767,32578,40276,43520,38267,62003,42735,367100,23476,37998,10974,390576,428574,439548
78,39,663,1750,1512,1447,1974,920,1822,1436,1549,967,724,633,981,1362,1712,1492,1081,753,784,815,936,1009,891,893,1193,837,827,1042,666,1041,1098,1015,11278,24586,18446,46558,35441,30439,38306,41409,35864,58707,40608,345778,21840,35493,10582,367618,403111,413693
79,37,662,1837,1441,1327,1924,904,1745,1461,1437,1005,666,598,913,1317,1620,1463,1036,639,680,716,896,971,865,779,1220,912,872,1047,645,986,976,951,10527,24021,16807,44232,33341,28426,35354,39017,34548,55815,38005,325545,20724,33768,9726,346269,380037,389763
80,39,654,1658,1355,1258,1776,815,1635,1360,1392,891,667,534,753,1266,1558,1356,977,581,663,670,798,893,775,738,1158,807,732,1022,579,884,887,894,9573,22452,16213,40820,31116,26695,32861,36984,32025,52260,36403,305377,19561,31477,9048,324938,356415,365463
81,20,579,1596,1284,1107,1660,777,1530,1235,1307,820,567,499,703,1180,1437,1214,864,592,535,619,659,840,685,705,1154,735,655,885,568,834,832,798,8750,20725,14638,37010,28579,24388,29755,33891,29475,48049,33147,278932,17951,28857,8225,296883,325740,333965
82,38,563,1572,1219,1068,1678,702,1371,1084,1214,735,487,459,675,1096,1405,1130,827,537,494,604,675,761,696,549,982,695,617,870,495,772,751,809,8049,19581,13689,34227,26179,22794,27983,31507,27630,45389,31830,261228,16860,26397,7868,278088,304485,312353
83,26,559,1375,1077,936,1692,702,1319,1051,1114,697,442,448,668,935,1347,1072,741,456,454,618,671,684,697,613,966,733,617,790,484,731,743,706,7714,18450,12830,32585,24338,21819,26957,30539,26164,43894,30068,249194,15399,25116,7195,264593,289709,296904
84,38,509,1299,1051,888,1467,668,1167,948,1055,649,414,409,569,873,1253,947,722,478,472,556,610,647,601,509,895,663,534,739,434,650,648,650,7080,16932,11889,30238,22725,20056,24839,28163,24012,41367,28280,231569,14163,22494,6598,245732,268226,274824
85,20,522,1226,966,773,1439,587,1021,848,948,595,394,394,502,898,1180,897,633,417,449,526,581,640,632,460,850,654,514,669,434,610,618,610,6620,15887,10538,27107,20373,18047,22594,25858,22507,37306,26116,210446,12854,19821,5921,223300,243121,249042
86,27,385,1120,912,668,1228,539,917,700,778,489,355,349,423,703,1060,766,524,346,392,450,479,552,444,377,764,523,493,692,315,527,507,530,5684,13650,8993,23554,17786,15911,19579,22877,19334,33445,22946,184425,11156,17425,5281,195581,213006,218287
87,35,421,906,741,582,1047,474,834,624,679,476,277,291,298,651,906,635,459,310,338,425,392,439,455,339,647,499,379,552,271,471,441,492,4776,12010,7686,20484,15509,13932,17081,19998,16786,29000,20303,160779,9828,14672,4484,170607,185279,189763
88,19,340,879,706,476,859,377,754,497,590,398,226,219,280,515,771,577,376,248,263,349,369,404,376,256,597,465,350,449,276,396,425,377,4089,10370,6649,17992,13705,12355,15091,17550,14459,25977,17817,141595,8805,12855,4019,150400,163255,167274
89,22,308,733,541,385,839,355,624,490,542,361,193,214,231,468,637,489,317,222,278,344,326,360,311,242,536,399,298,364,190,342,342,340,3613,9030,5839,15428,11834,10753,12983,15383,12643,22428,15785,123076,7596,11239,3314,130672,141911,145225
90+,63,1131,3358,2082,1567,3183,1455,2451,1958,2135,1505,855,776,965,1959,2450,1863,1303,841,1149,1399,1141,1332,1271,916,1965,1779,1199,1594,705,1450,1412,1313,14122,36403,21064,57813,43821,40568,49247,58434,50525,90725,62771,474968,29062,39795,12441,504030,543825,556266
