date,admissions
17/04/2022,29.0
16/04/2022,26.0
15/04/2022,17.0
14/04/2022,35.0
13/04/2022,35.0
12/04/2022,26.0
11/04/2022,36.0
10/04/2022,33.0
09/04/2022,25.0
08/04/2022,33.0
07/04/2022,31.0
06/04/2022,30.0
05/04/2022,33.0
04/04/2022,34.0
03/04/2022,35.0
02/04/2022,23.0
01/04/2022,25.0
31/03/2022,26.0
30/03/2022,51.0
29/03/2022,47.0
28/03/2022,42.0
27/03/2022,39.0
26/03/2022,39.0
25/03/2022,32.0
24/03/2022,23.0
23/03/2022,37.0
22/03/2022,42.0
21/03/2022,21.0
20/03/2022,29.0
19/03/2022,26.0
18/03/2022,33.0
17/03/2022,33.0
16/03/2022,37.0
15/03/2022,17.0
14/03/2022,18.0
13/03/2022,19.0
12/03/2022,26.0
11/03/2022,21.0
10/03/2022,22.0
09/03/2022,29.0
08/03/2022,14.0
07/03/2022,13.0
06/03/2022,14.0
05/03/2022,12.0
04/03/2022,19.0
03/03/2022,15.0
02/03/2022,22.0
01/03/2022,10.0
28/02/2022,19.0
27/02/2022,22.0
26/02/2022,12.0
25/02/2022,9.0
24/02/2022,21.0
23/02/2022,13.0
22/02/2022,9.0
21/02/2022,17.0
20/02/2022,17.0
19/02/2022,14.0
18/02/2022,16.0
17/02/2022,10.0
16/02/2022,18.0
15/02/2022,8.0
14/02/2022,9.0
13/02/2022,10.0
12/02/2022,16.0
11/02/2022,17.0
10/02/2022,25.0
09/02/2022,14.0
08/02/2022,11.0
07/02/2022,28.0
06/02/2022,18.0
05/02/2022,17.0
04/02/2022,25.0
03/02/2022,10.0
02/02/2022,23.0
01/02/2022,29.0
31/01/2022,23.0
30/01/2022,25.0
29/01/2022,22.0
28/01/2022,21.0
27/01/2022,24.0
26/01/2022,32.0
25/01/2022,23.0
24/01/2022,38.0
23/01/2022,20.0
22/01/2022,17.0
21/01/2022,22.0
20/01/2022,30.0
19/01/2022,37.0
18/01/2022,24.0
17/01/2022,32.0
16/01/2022,31.0
15/01/2022,44.0
14/01/2022,32.0
13/01/2022,38.0
12/01/2022,42.0
11/01/2022,50.0
10/01/2022,47.0
09/01/2022,56.0
08/01/2022,55.0
07/01/2022,38.0
06/01/2022,42.0
05/01/2022,53.0
04/01/2022,55.0
03/01/2022,63.0
02/01/2022,68.0
01/01/2022,60.0
31/12/2021,62.0
30/12/2021,51.0
29/12/2021,71.0
28/12/2021,38.0
27/12/2021,44.0
26/12/2021,52.0
25/12/2021,29.0
24/12/2021,27.0
23/12/2021,19.0
22/12/2021,24.0
21/12/2021,31.0
20/12/2021,19.0
19/12/2021,22.0
18/12/2021,17.0
17/12/2021,16.0
16/12/2021,15.0
15/12/2021,15.0
14/12/2021,14.0
13/12/2021,13.0
12/12/2021,15.0
11/12/2021,17.0
10/12/2021,10.0
09/12/2021,20.0
08/12/2021,14.0
07/12/2021,15.0
06/12/2021,13.0
05/12/2021,10.0
04/12/2021,11.0
03/12/2021,6.0
02/12/2021,8.0
01/12/2021,11.0
30/11/2021,11.0
29/11/2021,11.0
28/11/2021,10.0
27/11/2021,9.0
26/11/2021,14.0
25/11/2021,12.0
24/11/2021,9.0
23/11/2021,15.0
22/11/2021,9.0
21/11/2021,12.0
20/11/2021,12.0
19/11/2021,10.0
18/11/2021,6.0
17/11/2021,13.0
16/11/2021,22.0
15/11/2021,7.0
14/11/2021,9.0
13/11/2021,12.0
12/11/2021,9.0
11/11/2021,9.0
10/11/2021,13.0
09/11/2021,12.0
08/11/2021,15.0
07/11/2021,9.0
06/11/2021,6.0
05/11/2021,13.0
04/11/2021,24.0
03/11/2021,17.0
02/11/2021,11.0
01/11/2021,9.0
31/10/2021,16.0
30/10/2021,15.0
29/10/2021,23.0
28/10/2021,13.0
27/10/2021,13.0
26/10/2021,19.0
25/10/2021,12.0
24/10/2021,12.0
23/10/2021,14.0
22/10/2021,18.0
21/10/2021,20.0
20/10/2021,18.0
19/10/2021,13.0
18/10/2021,15.0
17/10/2021,17.0
16/10/2021,10.0
15/10/2021,18.0
14/10/2021,5.0
13/10/2021,14.0
12/10/2021,16.0
11/10/2021,10.0
10/10/2021,18.0
09/10/2021,13.0
08/10/2021,8.0
07/10/2021,7.0
06/10/2021,11.0
05/10/2021,14.0
04/10/2021,12.0
03/10/2021,9.0
02/10/2021,15.0
01/10/2021,9.0
30/09/2021,6.0
29/09/2021,9.0
28/09/2021,8.0
27/09/2021,10.0
26/09/2021,8.0
25/09/2021,12.0
24/09/2021,9.0
23/09/2021,12.0
22/09/2021,11.0
21/09/2021,17.0
20/09/2021,6.0
19/09/2021,10.0
18/09/2021,19.0
17/09/2021,15.0
16/09/2021,15.0
15/09/2021,24.0
14/09/2021,9.0
13/09/2021,12.0
12/09/2021,12.0
11/09/2021,8.0
10/09/2021,20.0
09/09/2021,20.0
08/09/2021,19.0
07/09/2021,17.0
06/09/2021,15.0
05/09/2021,14.0
04/09/2021,13.0
03/09/2021,19.0
02/09/2021,24.0
01/09/2021,12.0
31/08/2021,14.0
30/08/2021,14.0
29/08/2021,8.0
28/08/2021,13.0
27/08/2021,31.0
26/08/2021,7.0
25/08/2021,18.0
24/08/2021,19.0
23/08/2021,17.0
22/08/2021,19.0
21/08/2021,15.0
20/08/2021,18.0
19/08/2021,18.0
18/08/2021,28.0
17/08/2021,14.0
16/08/2021,18.0
15/08/2021,18.0
14/08/2021,16.0
13/08/2021,15.0
12/08/2021,14.0
11/08/2021,16.0
10/08/2021,20.0
09/08/2021,12.0
08/08/2021,19.0
07/08/2021,17.0
06/08/2021,15.0
05/08/2021,16.0
04/08/2021,15.0
03/08/2021,12.0
02/08/2021,22.0
01/08/2021,21.0
31/07/2021,11.0
30/07/2021,10.0
29/07/2021,22.0
28/07/2021,19.0
27/07/2021,22.0
26/07/2021,19.0
25/07/2021,9.0
24/07/2021,20.0
23/07/2021,12.0
22/07/2021,18.0
21/07/2021,22.0
20/07/2021,24.0
19/07/2021,22.0
18/07/2021,13.0
17/07/2021,12.0
16/07/2021,14.0
15/07/2021,17.0
14/07/2021,17.0
13/07/2021,13.0
12/07/2021,19.0
11/07/2021,29.0
10/07/2021,10.0
09/07/2021,20.0
08/07/2021,16.0
07/07/2021,13.0
06/07/2021,13.0
05/07/2021,11.0
04/07/2021,9.0
03/07/2021,14.0
02/07/2021,16.0
01/07/2021,9.0
30/06/2021,15.0
29/06/2021,13.0
28/06/2021,16.0
27/06/2021,12.0
26/06/2021,14.0
25/06/2021,12.0
24/06/2021,19.0
23/06/2021,10.0
22/06/2021,4.0
21/06/2021,14.0
20/06/2021,11.0
19/06/2021,6.0
18/06/2021,12.0
17/06/2021,17.0
16/06/2021,6.0
15/06/2021,13.0
14/06/2021,18.0
13/06/2021,12.0
12/06/2021,11.0
11/06/2021,3.0
10/06/2021,11.0
09/06/2021,10.0
08/06/2021,8.0
07/06/2021,4.0
06/06/2021,5.0
05/06/2021,18.0
04/06/2021,7.0
03/06/2021,9.0
02/06/2021,3.0
01/06/2021,6.0
31/05/2021,2.0
30/05/2021,4.0
29/05/2021,3.0
28/05/2021,2.0
27/05/2021,2.0
26/05/2021,3.0
25/05/2021,2.0
24/05/2021,5.0
23/05/2021,8.0
22/05/2021,0.0
21/05/2021,2.0
20/05/2021,3.0
19/05/2021,2.0
18/05/2021,2.0
17/05/2021,3.0
16/05/2021,3.0
15/05/2021,0.0
14/05/2021,5.0
13/05/2021,4.0
12/05/2021,1.0
11/05/2021,3.0
10/05/2021,1.0
09/05/2021,3.0
08/05/2021,2.0
07/05/2021,3.0
06/05/2021,0.0
05/05/2021,0.0
04/05/2021,0.0
03/05/2021,12.0
02/05/2021,5.0
01/05/2021,0.0
30/04/2021,0.0
29/04/2021,0.0
28/04/2021,0.0
27/04/2021,0.0
26/04/2021,1.0
25/04/2021,7.0
24/04/2021,0.0
23/04/2021,1.0
22/04/2021,2.0
21/04/2021,1.0
20/04/2021,1.0
19/04/2021,1.0
18/04/2021,0.0
17/04/2021,0.0
16/04/2021,2.0
15/04/2021,2.0
14/04/2021,4.0
13/04/2021,3.0
12/04/2021,10.0
11/04/2021,4.0
10/04/2021,6.0
09/04/2021,5.0
08/04/2021,7.0
07/04/2021,5.0
06/04/2021,1.0
05/04/2021,3.0
04/04/2021,2.0
03/04/2021,7.0
02/04/2021,4.0
01/04/2021,6.0
31/03/2021,4.0
30/03/2021,7.0
29/03/2021,9.0
28/03/2021,7.0
27/03/2021,12.0
26/03/2021,10.0
25/03/2021,13.0
24/03/2021,4.0
23/03/2021,9.0
22/03/2021,7.0
21/03/2021,4.0
20/03/2021,11.0
19/03/2021,7.0
18/03/2021,10.0
17/03/2021,7.0
16/03/2021,2.0
15/03/2021,9.0
14/03/2021,12.0
13/03/2021,5.0
12/03/2021,11.0
11/03/2021,4.0
10/03/2021,7.0
09/03/2021,10.0
08/03/2021,13.0
07/03/2021,6.0
06/03/2021,21.0
05/03/2021,3.0
04/03/2021,6.0
03/03/2021,7.0
02/03/2021,16.0
01/03/2021,10.0
28/02/2021,13.0
27/02/2021,9.0
26/02/2021,10.0
25/02/2021,8.0
24/02/2021,13.0
23/02/2021,12.0
22/02/2021,13.0
21/02/2021,15.0
20/02/2021,18.0
19/02/2021,19.0
18/02/2021,17.0
17/02/2021,17.0
16/02/2021,15.0
15/02/2021,16.0
14/02/2021,12.0
13/02/2021,21.0
12/02/2021,16.0
11/02/2021,18.0
10/02/2021,36.0
09/02/2021,31.0
08/02/2021,23.0
07/02/2021,30.0
06/02/2021,18.0
05/02/2021,19.0
04/02/2021,32.0
03/02/2021,25.0
02/02/2021,37.0
01/02/2021,14.0
31/01/2021,35.0
30/01/2021,30.0
29/01/2021,30.0
28/01/2021,34.0
27/01/2021,43.0
26/01/2021,31.0
25/01/2021,36.0
24/01/2021,50.0
23/01/2021,39.0
22/01/2021,45.0
21/01/2021,20.0
20/01/2021,41.0
19/01/2021,32.0
18/01/2021,35.0
17/01/2021,22.0
16/01/2021,19.0
15/01/2021,32.0
14/01/2021,24.0
13/01/2021,51.0
12/01/2021,22.0
11/01/2021,34.0
10/01/2021,24.0
09/01/2021,43.0
08/01/2021,27.0
07/01/2021,15.0
06/01/2021,33.0
05/01/2021,36.0
04/01/2021,45.0
03/01/2021,34.0
02/01/2021,24.0
01/01/2021,17.0
31/12/2020,13.0
30/12/2020,25.0
29/12/2020,21.0
28/12/2020,14.0
27/12/2020,23.0
26/12/2020,17.0
25/12/2020,15.0
24/12/2020,10.0
23/12/2020,21.0
22/12/2020,18.0
21/12/2020,19.0
20/12/2020,24.0
19/12/2020,19.0
18/12/2020,25.0
17/12/2020,20.0
16/12/2020,16.0
15/12/2020,19.0
14/12/2020,14.0
13/12/2020,9.0
12/12/2020,11.0
11/12/2020,13.0
10/12/2020,18.0
09/12/2020,18.0
08/12/2020,19.0
07/12/2020,15.0
06/12/2020,21.0
05/12/2020,17.0
04/12/2020,20.0
03/12/2020,23.0
02/12/2020,8.0
01/12/2020,23.0
30/11/2020,14.0
29/11/2020,18.0
28/11/2020,23.0
27/11/2020,5.0
26/11/2020,26.0
25/11/2020,17.0
24/11/2020,13.0
23/11/2020,20.0
22/11/2020,19.0
21/11/2020,43.0
20/11/2020,12.0
19/11/2020,20.0
18/11/2020,13.0
17/11/2020,30.0
16/11/2020,17.0
15/11/2020,22.0
14/11/2020,30.0
13/11/2020,18.0
12/11/2020,38.0
11/11/2020,26.0
10/11/2020,33.0
09/11/2020,18.0
08/11/2020,37.0
07/11/2020,21.0
06/11/2020,24.0
05/11/2020,22.0
04/11/2020,27.0
03/11/2020,21.0
02/11/2020,15.0
01/11/2020,24.0
31/10/2020,18.0
30/10/2020,19.0
29/10/2020,50.0
28/10/2020,33.0
27/10/2020,19.0
26/10/2020,22.0
25/10/2020,17.0
24/10/2020,39.0
23/10/2020,36.0
22/10/2020,26.0
21/10/2020,22.0
20/10/2020,21.0
19/10/2020,11.0
18/10/2020,11.0
17/10/2020,19.0
16/10/2020,11.0
15/10/2020,21.0
14/10/2020,11.0
13/10/2020,16.0
12/10/2020,19.0
11/10/2020,19.0
10/10/2020,14.0
09/10/2020,19.0
08/10/2020,19.0
07/10/2020,4.0
06/10/2020,10.0
05/10/2020,18.0
04/10/2020,17.0
03/10/2020,13.0
02/10/2020,12.0
01/10/2020,10.0
30/09/2020,9.0
29/09/2020,1.0
28/09/2020,11.0
27/09/2020,8.0
26/09/2020,6.0
25/09/2020,11.0
24/09/2020,12.0
23/09/2020,7.0
22/09/2020,12.0
21/09/2020,8.0
20/09/2020,7.0
19/09/2020,9.0
18/09/2020,5.0
17/09/2020,6.0
16/09/2020,5.0
15/09/2020,5.0
14/09/2020,4.0
13/09/2020,10.0
12/09/2020,5.0
11/09/2020,7.0
10/09/2020,5.0
09/09/2020,5.0
08/09/2020,1.0
07/09/2020,4.0
06/09/2020,2.0
05/09/2020,3.0
04/09/2020,2.0
03/09/2020,2.0
02/09/2020,0.0
01/09/2020,4.0
31/08/2020,0.0
30/08/2020,1.0
29/08/2020,4.0
28/08/2020,5.0
27/08/2020,2.0
26/08/2020,3.0
25/08/2020,1.0
24/08/2020,2.0
23/08/2020,1.0
22/08/2020,0.0
21/08/2020,3.0
20/08/2020,0.0
19/08/2020,5.0
18/08/2020,2.0
17/08/2020,4.0
16/08/2020,1.0
15/08/2020,1.0
14/08/2020,0.0
13/08/2020,3.0
12/08/2020,2.0
11/08/2020,3.0
10/08/2020,3.0
09/08/2020,3.0
08/08/2020,2.0
07/08/2020,4.0
06/08/2020,3.0
05/08/2020,5.0
04/08/2020,3.0
03/08/2020,5.0
02/08/2020,2.0
01/08/2020,2.0
31/07/2020,2.0
30/07/2020,6.0
29/07/2020,6.0
28/07/2020,2.0
27/07/2020,3.0
26/07/2020,1.0
25/07/2020,1.0
24/07/2020,1.0
23/07/2020,2.0
22/07/2020,6.0
21/07/2020,2.0
20/07/2020,4.0
19/07/2020,3.0
18/07/2020,1.0
17/07/2020,2.0
16/07/2020,2.0
15/07/2020,3.0
14/07/2020,1.0
13/07/2020,1.0
12/07/2020,1.0
11/07/2020,0.0
10/07/2020,1.0
09/07/2020,2.0
08/07/2020,5.0
07/07/2020,2.0
06/07/2020,4.0
05/07/2020,1.0
04/07/2020,3.0
03/07/2020,5.0
02/07/2020,4.0
01/07/2020,1.0
30/06/2020,4.0
29/06/2020,15.0
28/06/2020,11.0
27/06/2020,10.0
26/06/2020,21.0
25/06/2020,25.0
24/06/2020,28.0
23/06/2020,27.0
22/06/2020,35.0
21/06/2020,20.0
20/06/2020,12.0
19/06/2020,20.0
18/06/2020,24.0
17/06/2020,29.0
16/06/2020,33.0
15/06/2020,23.0
14/06/2020,17.0
13/06/2020,20.0
12/06/2020,42.0
11/06/2020,34.0
10/06/2020,39.0
09/06/2020,45.0
08/06/2020,22.0
07/06/2020,21.0
06/06/2020,15.0
05/06/2020,22.0
04/06/2020,66.0
03/06/2020,51.0
02/06/2020,33.0
01/06/2020,32.0
31/05/2020,22.0
30/05/2020,15.0
29/05/2020,28.0
28/05/2020,38.0
27/05/2020,32.0
26/05/2020,20.0
25/05/2020,23.0
24/05/2020,25.0
23/05/2020,21.0
22/05/2020,30.0
21/05/2020,36.0
20/05/2020,37.0
19/05/2020,35.0
18/05/2020,27.0
17/05/2020,27.0
16/05/2020,32.0
15/05/2020,41.0
14/05/2020,41.0
13/05/2020,48.0
12/05/2020,48.0
11/05/2020,40.0
10/05/2020,37.0
09/05/2020,28.0
08/05/2020,28.0
07/05/2020,33.0
06/05/2020,38.0
05/05/2020,53.0
04/05/2020,46.0
03/05/2020,27.0
02/05/2020,28.0
01/05/2020,31.0
30/04/2020,51.0
29/04/2020,51.0
28/04/2020,31.0
27/04/2020,44.0
26/04/2020,44.0
25/04/2020,31.0
24/04/2020,31.0
23/04/2020,36.0
22/04/2020,43.0
21/04/2020,47.0
20/04/2020,55.0
19/04/2020,49.0
18/04/2020,45.0
17/04/2020,44.0
16/04/2020,30.0
15/04/2020,38.0
14/04/2020,58.0
13/04/2020,66.0
12/04/2020,70.0
11/04/2020,75.0
10/04/2020,75.0
09/04/2020,81.0
08/04/2020,118.0
07/04/2020,114.0
06/04/2020,70.0
05/04/2020,85.0
04/04/2020,77.0
03/04/2020,81.0
02/04/2020,101.0
01/04/2020,116.0
31/03/2020,88.0
30/03/2020,52.0
29/03/2020,35.0
28/03/2020,29.0
27/03/2020,35.0
26/03/2020,34.0
25/03/2020,23.0
24/03/2020,19.0
23/03/2020,17.0
22/03/2020,13.0
21/03/2020,10.0
20/03/2020,11.0
19/03/2020,7.0
